b,lower,upper,office,inc,inc_label
-0.04249320061916958,-0.07837243699719224,-0.006613964241146929,GOV,0,Non-Incumbents
-0.02276314094029467,-0.11029482595301673,0.06476854407242738,GOV,1,Incumbents
-0.045570591562428285,-0.1030683433426125,0.011927160217755924,GOV,2,Pooled
-0.02417978183320379,-0.05311051794195404,0.004750954275546452,SOS,0,Non-Incumbents
NA,NA,NA,SOS,1,Incumbents
-0.03348071221438441,-0.060672323196816105,-0.006289101231952709,SOS,2,Pooled
-0.03668828833718444,-0.06491381573813737,-0.008462760936231502,AG,0,Non-Incumbents
0.017539296179251616,-0.019860494590084092,0.054939086948587325,AG,1,Incumbents
-0.012600617764512026,-0.04701740225066872,0.021816166721644673,AG,2,Pooled
-0.004745519252618578,-0.035615340558606844,0.026124302053369686,SEN,0,Non-Incumbents
-0.04181580193895691,-0.06800734705474504,-0.015624256823168783,SEN,1,Incumbents
-0.023467711896504026,-0.04471447070700123,-0.0022209530860068244,SEN,2,Pooled
0.0011191055076006612,-0.005804150489647341,0.008042361504848662,H,0,Non-Incumbents
-0.012278488924897638,-0.022294857966249425,-0.002262119883545851,H,1,Incumbents
-1.0952922047047128e-4,-0.007003477267760003,0.00678441882681906,H,2,Pooled
